"sales_rep","revenue"
Earlie Schleusner,1098137.72
Tia Amato,1010690.60
Vernita Plump,934212.93
Georgianna Chisholm,886244.12
Arica Stoltzfus,810353.34
Dorotha Seawell,766935.04
Nelle Meaux,749076.16
Sibyl Lauria,722084.27
Maren Musto,702697.29
Brandie Riva,675917.64
Charles Bidwell,675637.19
Elwood Shutt,662500.24
Maryanna Fiorentino,655954.74
Moon Torian,650393.52
Hilma Busick,622808.04
Dawna Agnew,604519.38
Calvin Ollison,594516.08
Cliff Meints,556105.34
Gianna Dossey,550973.02
Michel Averette,523977.06
Delilah Krum,512179.11
Elna Condello,508913.05
Micha Woodford,488448.47
Necole Victory,475282.05
Samuel Racine,470408.98
Cordell Rieder,447934.80
Julia Behrman,447712.91
Derrick Boggess,383933.65
Saran Ram,362689.34
Renetta Carew,330188.69
Shawanda Selke,327828.61
Eugena Esser,311801.45
Marquetta Laycock,307940.94
Debroah Wardle,293374.01
Ernestine Pickron,283243.25
Retha Sears,283203.03
Silvana Virden,262170.64
Lavera Oles,258316.81
Sherlene Wetherington,218909.58
Ayesha Monica,217146.59
Babette Soukup,215905.27
Carletta Kosinski,213032.45
Soraya Fulton,210436.05
Chau Rowles,184282.60
Cara Clarke,166138.65
Akilah Drinkard,136613.99
Kathleen Lalonde,116307.79
Elba Felder,114976.59
Julie Starr,89097.65
Nakesha Renn,49361.11
